venue_chain_id,venue_id,date,"(-inf, 30.0]","(30.0, 60.0]","(60.0, 90.0]","(90.0, 180.0]","(180.0, 365.0]","(365.0, inf]"
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2021-05-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2021-06-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2021-07-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2021-08-31,0,78,49,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2021-09-30,0,84,130,33,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2021-10-31,0,59,107,129,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2021-11-30,0,51,113,190,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2021-12-31,0,59,90,182,22,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-01-31,0,45,85,181,57,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-02-28,0,74,89,155,76,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-03-31,0,67,76,175,141,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-04-30,0,74,86,170,134,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-05-31,0,59,75,142,165,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-06-30,0,55,108,175,172,3
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-07-31,0,62,69,170,154,23
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-08-31,0,50,66,160,158,32
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-09-30,0,47,87,157,151,37
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-10-31,0,54,85,175,132,48
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-11-30,0,58,86,138,133,72
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-12-31,0,50,91,199,169,89
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-01-31,0,29,92,185,153,73
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-02-28,0,50,54,154,143,68
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-03-31,0,83,76,165,136,96
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-04-30,0,43,64,148,129,68
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-05-31,0,44,66,125,128,81
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-06-30,0,43,64,176,143,98
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-07-31,0,37,45,128,115,89
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-08-31,0,44,61,118,130,77
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-09-30,0,33,65,128,153,95
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-10-31,0,27,57,112,151,87
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-11-30,0,49,55,134,132,80
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-12-31,0,42,94,135,142,113
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2024-01-31,0,30,73,124,108,87
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2024-02-29,0,44,73,139,111,101
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2024-03-31,0,46,68,153,125,105
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2024-04-30,0,34,47,102,107,85
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2021-05-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2021-06-30,0,1,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2021-07-31,0,54,45,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2021-08-31,0,71,77,20,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2021-09-30,0,63,119,70,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2021-10-31,0,50,75,123,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2021-11-30,0,36,75,146,20,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2021-12-31,0,51,68,148,38,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-01-31,0,49,66,116,59,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-02-28,0,34,72,132,76,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-03-31,0,60,51,152,117,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-04-30,0,61,87,139,114,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-05-31,0,68,83,129,125,5
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-06-30,0,60,99,126,85,7
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-07-31,0,62,106,180,127,27
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-08-31,0,55,84,124,92,31
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-09-30,0,55,96,158,104,45
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-10-31,0,44,67,150,109,42
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-11-30,0,45,59,130,92,28
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-12-31,0,65,79,136,124,36
