venue_chain_id,venue_id,date,new,return,repeat,new_12m_mean,return_12m_mean
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-06-30,4123,513,403,4295.416666666667,531.1666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-07-31,4377,478,363,4248.666666666667,601.25
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-08-31,4224,466,379,4261.583333333333,659.6666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-09-30,4284,479,407,4266.916666666667,705.8333333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-10-31,4160,494,416,4227.083333333333,745.9166666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-11-30,4109,487,412,4213.916666666667,780.6666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2022-12-31,5231,598,502,4276.083333333333,824.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-01-31,4256,532,430,4308.833333333333,856.4166666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-02-28,4196,469,450,4325.0,878.1666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-03-31,4234,556,474,4303.0,902.3333333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-04-30,3629,452,423,4241.0,910.8333333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-05-31,3771,444,426,4216.166666666667,921.0833333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-06-30,3870,524,429,4195.083333333333,924.1666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-07-31,3613,414,419,4131.416666666667,923.5
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-08-31,3329,430,390,4056.8333333333335,921.4166666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-09-30,3957,474,363,4029.5833333333335,917.3333333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-10-31,3630,434,390,3985.4166666666665,910.1666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-11-30,3721,450,437,3953.0833333333335,909.1666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2023-12-31,4186,526,437,3866.0,897.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2024-01-31,3515,422,352,3804.25,882.0833333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2024-02-29,3821,468,407,3773.0,878.4166666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2024-03-31,3866,497,464,3742.3333333333335,872.6666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,1,2024-04-30,3047,375,360,3693.8333333333335,861.0
